Starting a PBFT simulation...
ntotal = 13, nbad = 5, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 1.434979, status = 1.
Sim 1, deltat = 1.620633, status = 1.
Sim 2, deltat = 1.238714, status = 1.
Sim 3, deltat = 1.484452, status = 1.
Sim 4, deltat = 1.442559, status = 1.
Sim 5, deltat = 1.435769, status = 1.
Sim 6, deltat = 1.435338, status = 1.
Sim 7, deltat = 1.771719, status = 1.
Sim 8, deltat = 1.393837, status = 1.
Sim 9, deltat = 1.288439, status = 1.
Sim 10, deltat = 1.508492, status = 1.
Sim 11, deltat = 1.402480, status = 1.
Sim 12, deltat = 0.573322, status = 0.
Sim 13, deltat = 1.496274, status = 1.
Sim 14, deltat = 1.353992, status = 1.
Sim 15, deltat = 1.625413, status = 1.
Sim 16, deltat = 1.326093, status = 1.
Sim 17, deltat = 0.525912, status = 0.
Sim 18, deltat = 1.719965, status = 1.
Sim 19, deltat = 1.464696, status = 1.
Sim 20, deltat = 1.618230, status = 1.
Sim 21, deltat = 1.292785, status = 1.
Sim 22, deltat = 1.302091, status = 1.
Sim 23, deltat = 1.489715, status = 1.
Sim 24, deltat = 1.678575, status = 1.
Sim 25, deltat = 1.559293, status = 1.
Sim 26, deltat = 1.465379, status = 1.
Sim 27, deltat = 1.335866, status = 1.
Sim 28, deltat = 1.583245, status = 1.
Sim 29, deltat = 1.583934, status = 1.
Sim 30, deltat = 0.590072, status = 0.
Sim 31, deltat = 1.593871, status = 1.
Sim 32, deltat = 1.600412, status = 1.
Sim 33, deltat = 1.465102, status = 1.
Sim 34, deltat = 1.322085, status = 1.
Sim 35, deltat = 1.313320, status = 1.
Sim 36, deltat = 1.336169, status = 1.
Sim 37, deltat = 1.485827, status = 1.
Sim 38, deltat = 0.581228, status = 0.
Sim 39, deltat = 1.261726, status = 1.
Sim 40, deltat = 1.481790, status = 1.
Sim 41, deltat = 1.741741, status = 1.
Sim 42, deltat = 1.456896, status = 1.
Sim 43, deltat = 1.398538, status = 1.
Sim 44, deltat = 3.024280, status = 1.
Sim 45, deltat = 1.565419, status = 1.
Sim 46, deltat = 1.559100, status = 1.
Sim 47, deltat = 1.550535, status = 1.
Sim 48, deltat = 1.405531, status = 1.
Sim 49, deltat = 1.410147, status = 1.
Sim 50, deltat = 1.418339, status = 1.
Sim 51, deltat = 1.606798, status = 1.
Sim 52, deltat = 1.622912, status = 1.
Sim 53, deltat = 1.360813, status = 1.
Sim 54, deltat = 1.509345, status = 1.
Sim 55, deltat = 1.637106, status = 1.
Sim 56, deltat = 1.450203, status = 1.
Sim 57, deltat = 1.240261, status = 1.
Sim 58, deltat = 1.504455, status = 1.
Sim 59, deltat = 1.935791, status = 1.
Sim 60, deltat = 1.415005, status = 1.
Sim 61, deltat = 1.527979, status = 1.
Sim 62, deltat = 1.613468, status = 1.
Sim 63, deltat = 1.522296, status = 1.
Sim 64, deltat = 1.453181, status = 1.
Sim 65, deltat = 1.322030, status = 1.
Sim 66, deltat = 1.396306, status = 1.
Sim 67, deltat = 1.316035, status = 1.
Sim 68, deltat = 1.443795, status = 1.
Sim 69, deltat = 1.532659, status = 1.
Sim 70, deltat = 1.551025, status = 1.
Sim 71, deltat = 1.519890, status = 1.
Sim 72, deltat = 2.817373, status = 1.
Sim 73, deltat = 1.684414, status = 1.
Sim 74, deltat = 1.167836, status = 1.
Sim 75, deltat = 1.685732, status = 1.
Sim 76, deltat = 0.544270, status = 0.
Sim 77, deltat = 1.387080, status = 1.
Sim 78, deltat = 1.432592, status = 1.
Sim 79, deltat = 0.758386, status = 0.
Sim 80, deltat = 1.219522, status = 1.
Sim 81, deltat = 0.721992, status = 0.
Sim 82, deltat = 1.713634, status = 1.
Sim 83, deltat = 1.546678, status = 1.
Sim 84, deltat = 1.436432, status = 1.
Sim 85, deltat = 1.682912, status = 1.
Sim 86, deltat = 1.258363, status = 1.
Sim 87, deltat = 1.510341, status = 1.
Sim 88, deltat = 1.730705, status = 1.
Sim 89, deltat = 1.465339, status = 1.
Sim 90, deltat = 1.249296, status = 1.
Sim 91, deltat = 1.438687, status = 1.
Sim 92, deltat = 1.601416, status = 1.
Sim 93, deltat = 1.548802, status = 1.
Sim 94, deltat = 1.465719, status = 1.
Sim 95, deltat = 1.524715, status = 1.
Sim 96, deltat = 0.603953, status = 0.
Sim 97, deltat = 1.745231, status = 1.
Sim 98, deltat = 1.635638, status = 1.
Sim 99, deltat = 1.245444, status = 1.
Total time = 144.318173.
Average time = 1.443182.
92 blocks are successfully places in 100 simulations.
End of the simulation.
