Starting a PBFT simulation...
ntotal = 13, nbad = 0, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 0.684451, status = 1.
Sim 1, deltat = 0.855036, status = 1.
Sim 2, deltat = 0.617911, status = 1.
Sim 3, deltat = 0.737472, status = 1.
Sim 4, deltat = 0.826047, status = 1.
Sim 5, deltat = 0.585422, status = 1.
Sim 6, deltat = 0.586589, status = 1.
Sim 7, deltat = 0.644015, status = 1.
Sim 8, deltat = 0.663445, status = 1.
Sim 9, deltat = 0.819030, status = 1.
Sim 10, deltat = 0.966034, status = 1.
Sim 11, deltat = 0.809851, status = 1.
Sim 12, deltat = 0.632958, status = 1.
Sim 13, deltat = 0.802139, status = 1.
Sim 14, deltat = 0.769213, status = 1.
Sim 15, deltat = 0.679245, status = 1.
Sim 16, deltat = 0.636453, status = 1.
Sim 17, deltat = 0.704133, status = 1.
Sim 18, deltat = 0.637013, status = 1.
Sim 19, deltat = 0.560366, status = 1.
Sim 20, deltat = 0.854238, status = 1.
Sim 21, deltat = 0.450291, status = 1.
Sim 22, deltat = 0.760276, status = 1.
Sim 23, deltat = 0.572691, status = 1.
Sim 24, deltat = 0.786614, status = 1.
Sim 25, deltat = 0.725432, status = 1.
Sim 26, deltat = 0.732373, status = 1.
Sim 27, deltat = 0.914248, status = 1.
Sim 28, deltat = 0.839626, status = 1.
Sim 29, deltat = 0.769492, status = 1.
Sim 30, deltat = 0.636407, status = 1.
Sim 31, deltat = 0.685274, status = 1.
Sim 32, deltat = 0.628739, status = 1.
Sim 33, deltat = 0.814152, status = 1.
Sim 34, deltat = 0.881454, status = 1.
Sim 35, deltat = 0.506096, status = 1.
Sim 36, deltat = 0.661540, status = 1.
Sim 37, deltat = 0.879429, status = 1.
Sim 38, deltat = 0.788022, status = 1.
Sim 39, deltat = 0.722824, status = 1.
Sim 40, deltat = 0.643460, status = 1.
Sim 41, deltat = 0.636040, status = 1.
Sim 42, deltat = 0.768427, status = 1.
Sim 43, deltat = 0.758415, status = 1.
Sim 44, deltat = 1.076509, status = 1.
Sim 45, deltat = 0.756971, status = 1.
Sim 46, deltat = 0.650899, status = 1.
Sim 47, deltat = 0.755227, status = 1.
Sim 48, deltat = 0.676489, status = 1.
Sim 49, deltat = 0.737353, status = 1.
Sim 50, deltat = 0.760351, status = 1.
Sim 51, deltat = 0.690761, status = 1.
Sim 52, deltat = 0.606267, status = 1.
Sim 53, deltat = 0.610517, status = 1.
Sim 54, deltat = 0.573565, status = 1.
Sim 55, deltat = 0.904085, status = 1.
Sim 56, deltat = 0.673102, status = 1.
Sim 57, deltat = 0.946083, status = 1.
Sim 58, deltat = 0.549741, status = 1.
Sim 59, deltat = 0.849734, status = 1.
Sim 60, deltat = 0.600585, status = 1.
Sim 61, deltat = 0.579399, status = 1.
Sim 62, deltat = 0.609559, status = 1.
Sim 63, deltat = 0.791478, status = 1.
Sim 64, deltat = 0.657209, status = 1.
Sim 65, deltat = 0.774116, status = 1.
Sim 66, deltat = 0.833312, status = 1.
Sim 67, deltat = 0.666233, status = 1.
Sim 68, deltat = 0.683102, status = 1.
Sim 69, deltat = 0.964125, status = 1.
Sim 70, deltat = 0.821941, status = 1.
Sim 71, deltat = 0.694236, status = 1.
Sim 72, deltat = 0.626791, status = 1.
Sim 73, deltat = 0.736598, status = 1.
Sim 74, deltat = 0.638366, status = 1.
Sim 75, deltat = 0.776050, status = 1.
Sim 76, deltat = 0.700363, status = 1.
Sim 77, deltat = 0.701799, status = 1.
Sim 78, deltat = 0.733039, status = 1.
Sim 79, deltat = 0.784223, status = 1.
Sim 80, deltat = 0.697242, status = 1.
Sim 81, deltat = 0.598179, status = 1.
Sim 82, deltat = 0.664641, status = 1.
Sim 83, deltat = 0.621939, status = 1.
Sim 84, deltat = 0.702731, status = 1.
Sim 85, deltat = 0.760601, status = 1.
Sim 86, deltat = 0.783860, status = 1.
Sim 87, deltat = 0.783767, status = 1.
Sim 88, deltat = 0.686580, status = 1.
Sim 89, deltat = 0.845061, status = 1.
Sim 90, deltat = 0.798994, status = 1.
Sim 91, deltat = 0.624779, status = 1.
Sim 92, deltat = 0.910047, status = 1.
Sim 93, deltat = 0.906491, status = 1.
Sim 94, deltat = 0.694142, status = 1.
Sim 95, deltat = 0.937884, status = 1.
Sim 96, deltat = 0.607736, status = 1.
Sim 97, deltat = 0.650383, status = 1.
Sim 98, deltat = 0.876406, status = 1.
Sim 99, deltat = 1.051957, status = 1.
Total time = 73.025981.
Average time = 0.730260.
100 blocks are successfully places in 100 simulations.
End of the simulation.
