Starting a PBFT simulation...
ntotal = 13, nbad = 4, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 1.564675, status = 1.
Sim 1, deltat = 1.197841, status = 1.
Sim 2, deltat = 1.591211, status = 1.
Sim 3, deltat = 1.327248, status = 1.
Sim 4, deltat = 1.634450, status = 1.
Sim 5, deltat = 1.490712, status = 1.
Sim 6, deltat = 1.527146, status = 1.
Sim 7, deltat = 1.322317, status = 1.
Sim 8, deltat = 1.774519, status = 1.
Sim 9, deltat = 1.312858, status = 1.
Sim 10, deltat = 1.753109, status = 1.
Sim 11, deltat = 1.531271, status = 1.
Sim 12, deltat = 1.201172, status = 1.
Sim 13, deltat = 1.679650, status = 1.
Sim 14, deltat = 1.398641, status = 1.
Sim 15, deltat = 1.304003, status = 1.
Sim 16, deltat = 1.376509, status = 1.
Sim 17, deltat = 1.478976, status = 1.
Sim 18, deltat = 1.423645, status = 1.
Sim 19, deltat = 1.372857, status = 1.
Sim 20, deltat = 1.400553, status = 1.
Sim 21, deltat = 1.514751, status = 1.
Sim 22, deltat = 1.266118, status = 1.
Sim 23, deltat = 1.459683, status = 1.
Sim 24, deltat = 1.394192, status = 1.
Sim 25, deltat = 1.471515, status = 1.
Sim 26, deltat = 1.202205, status = 1.
Sim 27, deltat = 1.560885, status = 1.
Sim 28, deltat = 1.522460, status = 1.
Sim 29, deltat = 1.363124, status = 1.
Sim 30, deltat = 1.252095, status = 1.
Sim 31, deltat = 1.097054, status = 1.
Sim 32, deltat = 1.665460, status = 1.
Sim 33, deltat = 1.513331, status = 1.
Sim 34, deltat = 1.582875, status = 1.
Sim 35, deltat = 1.215501, status = 1.
Sim 36, deltat = 1.309529, status = 1.
Sim 37, deltat = 1.581452, status = 1.
Sim 38, deltat = 1.324758, status = 1.
Sim 39, deltat = 1.562741, status = 1.
Sim 40, deltat = 1.525582, status = 1.
Sim 41, deltat = 1.498170, status = 1.
Sim 42, deltat = 1.479292, status = 1.
Sim 43, deltat = 1.613697, status = 1.
Sim 44, deltat = 1.394834, status = 1.
Sim 45, deltat = 1.531505, status = 1.
Sim 46, deltat = 1.184618, status = 1.
Sim 47, deltat = 1.488299, status = 1.
Sim 48, deltat = 1.376246, status = 1.
Sim 49, deltat = 1.454277, status = 1.
Sim 50, deltat = 1.319569, status = 1.
Sim 51, deltat = 1.153178, status = 1.
Sim 52, deltat = 1.286788, status = 1.
Sim 53, deltat = 1.383402, status = 1.
Sim 54, deltat = 1.280984, status = 1.
Sim 55, deltat = 1.484284, status = 1.
Sim 56, deltat = 1.632323, status = 1.
Sim 57, deltat = 1.424171, status = 1.
Sim 58, deltat = 1.588851, status = 1.
Sim 59, deltat = 1.686727, status = 1.
Sim 60, deltat = 1.667756, status = 1.
Sim 61, deltat = 1.553152, status = 1.
Sim 62, deltat = 1.469540, status = 1.
Sim 63, deltat = 1.534631, status = 1.
Sim 64, deltat = 1.224514, status = 1.
Sim 65, deltat = 1.551055, status = 1.
Sim 66, deltat = 1.592876, status = 1.
Sim 67, deltat = 1.795241, status = 1.
Sim 68, deltat = 1.381154, status = 1.
Sim 69, deltat = 1.321431, status = 1.
Sim 70, deltat = 1.469834, status = 1.
Sim 71, deltat = 1.467752, status = 1.
Sim 72, deltat = 1.366042, status = 1.
Sim 73, deltat = 1.591939, status = 1.
Sim 74, deltat = 1.366323, status = 1.
Sim 75, deltat = 1.543418, status = 1.
Sim 76, deltat = 1.628890, status = 1.
Sim 77, deltat = 1.131274, status = 1.
Sim 78, deltat = 1.399014, status = 1.
Sim 79, deltat = 1.375951, status = 1.
Sim 80, deltat = 1.955834, status = 1.
Sim 81, deltat = 1.374487, status = 1.
Sim 82, deltat = 1.391438, status = 1.
Sim 83, deltat = 1.528168, status = 1.
Sim 84, deltat = 1.476748, status = 1.
Sim 85, deltat = 1.437739, status = 1.
Sim 86, deltat = 1.437637, status = 1.
Sim 87, deltat = 1.534999, status = 1.
Sim 88, deltat = 1.252804, status = 1.
Sim 89, deltat = 1.454863, status = 1.
Sim 90, deltat = 1.437034, status = 1.
Sim 91, deltat = 1.794065, status = 1.
Sim 92, deltat = 1.670124, status = 1.
Sim 93, deltat = 1.537074, status = 1.
Sim 94, deltat = 1.353478, status = 1.
Sim 95, deltat = 1.544681, status = 1.
Sim 96, deltat = 1.363247, status = 1.
Sim 97, deltat = 1.449659, status = 1.
Sim 98, deltat = 1.351358, status = 1.
Sim 99, deltat = 1.185021, status = 1.
Total time = 145.272136.
Average time = 1.452721.
100 blocks are successfully places in 100 simulations.
End of the simulation.
