Starting a PBFT simulation...
ntotal = 13, nbad = 6, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 0.632247, status = 0.
Sim 1, deltat = 1.484024, status = 1.
Sim 2, deltat = 1.707705, status = 1.
Sim 3, deltat = 0.607764, status = 0.
Sim 4, deltat = 1.435511, status = 1.
Sim 5, deltat = 0.662027, status = 0.
Sim 6, deltat = 0.654260, status = 0.
Sim 7, deltat = 0.729917, status = 0.
Sim 8, deltat = 1.399336, status = 1.
Sim 9, deltat = 0.452013, status = 0.
Sim 10, deltat = 1.279785, status = 1.
Sim 11, deltat = 1.525289, status = 1.
Sim 12, deltat = 0.663223, status = 0.
Sim 13, deltat = 1.031340, status = 0.
Sim 14, deltat = 1.873600, status = 1.
Sim 15, deltat = 3.343006, status = 1.
Sim 16, deltat = 1.255721, status = 1.
Sim 17, deltat = 2.837656, status = 1.
Sim 18, deltat = 2.392523, status = 0.
Sim 19, deltat = 1.552478, status = 1.
Sim 20, deltat = 0.884333, status = 0.
Sim 21, deltat = 1.407780, status = 1.
Sim 22, deltat = 1.358413, status = 1.
Sim 23, deltat = 1.321620, status = 1.
Sim 24, deltat = 1.390700, status = 1.
Sim 25, deltat = 0.610855, status = 0.
Sim 26, deltat = 1.397652, status = 1.
Sim 27, deltat = 0.777672, status = 0.
Sim 28, deltat = 1.597258, status = 1.
Sim 29, deltat = 0.819193, status = 0.
Sim 30, deltat = 0.619272, status = 0.
Sim 31, deltat = 1.768909, status = 1.
Sim 32, deltat = 1.105472, status = 1.
Sim 33, deltat = 1.285099, status = 1.
Sim 34, deltat = 1.726843, status = 1.
Sim 35, deltat = 1.317085, status = 1.
Sim 36, deltat = 1.444203, status = 1.
Sim 37, deltat = 2.870048, status = 1.
Sim 38, deltat = 2.144968, status = 0.
Sim 39, deltat = 0.700759, status = 0.
Sim 40, deltat = 0.832047, status = 0.
Sim 41, deltat = 0.720423, status = 0.
Sim 42, deltat = 1.402921, status = 1.
Sim 43, deltat = 1.385026, status = 1.
Sim 44, deltat = 0.549935, status = 0.
Sim 45, deltat = 0.709614, status = 0.
Sim 46, deltat = 0.803169, status = 0.
Sim 47, deltat = 2.939019, status = 1.
Sim 48, deltat = 1.177534, status = 1.
Sim 49, deltat = 0.526475, status = 0.
Sim 50, deltat = 0.868799, status = 0.
Sim 51, deltat = 0.953476, status = 0.
Sim 52, deltat = 1.558504, status = 1.
Sim 53, deltat = 3.219512, status = 0.
Sim 54, deltat = 0.651877, status = 0.
Sim 55, deltat = 1.466726, status = 1.
Sim 56, deltat = 2.132207, status = 0.
Sim 57, deltat = 2.887629, status = 1.
Sim 58, deltat = 1.000076, status = 0.
Sim 59, deltat = 1.273186, status = 1.
Sim 60, deltat = 0.728755, status = 0.
Sim 61, deltat = 1.228766, status = 1.
Sim 62, deltat = 0.577746, status = 0.
Sim 63, deltat = 1.388475, status = 1.
Sim 64, deltat = 1.507361, status = 1.
Sim 65, deltat = 0.599226, status = 0.
Sim 66, deltat = 1.148856, status = 1.
Sim 67, deltat = 0.727092, status = 0.
Sim 68, deltat = 1.283381, status = 1.
Sim 69, deltat = 1.517087, status = 1.
Sim 70, deltat = 1.592357, status = 1.
Sim 71, deltat = 1.294078, status = 1.
Sim 72, deltat = 3.810617, status = 0.
Sim 73, deltat = 1.439556, status = 1.
Sim 74, deltat = 2.305677, status = 0.
Sim 75, deltat = 1.266901, status = 0.
Sim 76, deltat = 0.743579, status = 0.
Sim 77, deltat = 0.666894, status = 0.
Sim 78, deltat = 1.755255, status = 1.
Sim 79, deltat = 3.015425, status = 1.
Sim 80, deltat = 0.725605, status = 0.
Sim 81, deltat = 1.465275, status = 1.
Sim 82, deltat = 4.350878, status = 1.
Sim 83, deltat = 0.672445, status = 0.
Sim 84, deltat = 1.802969, status = 1.
Sim 85, deltat = 1.419544, status = 1.
Sim 86, deltat = 0.954335, status = 0.
Sim 87, deltat = 0.713676, status = 0.
Sim 88, deltat = 0.977739, status = 0.
Sim 89, deltat = 0.595220, status = 0.
Sim 90, deltat = 2.014874, status = 0.
Sim 91, deltat = 1.994898, status = 1.
Sim 92, deltat = 3.178547, status = 1.
Sim 93, deltat = 1.861909, status = 0.
Sim 94, deltat = 1.731398, status = 1.
Sim 95, deltat = 1.719036, status = 1.
Sim 96, deltat = 1.259730, status = 1.
Sim 97, deltat = 1.500408, status = 1.
Sim 98, deltat = 1.313178, status = 1.
Sim 99, deltat = 0.724955, status = 0.
Total time = 140.699414.
Average time = 1.406994.
54 blocks are successfully places in 100 simulations.
End of the simulation.
