Starting a PBFT simulation...
ntotal = 13, nbad = 7, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 0.806080, status = 0.
Sim 1, deltat = 0.723519, status = 0.
Sim 2, deltat = 1.638513, status = 1.
Sim 3, deltat = 1.191605, status = 0.
Sim 4, deltat = 4.415789, status = 0.
Sim 5, deltat = 2.233975, status = 0.
Sim 6, deltat = 0.690135, status = 0.
Sim 7, deltat = 0.704555, status = 0.
Sim 8, deltat = 0.596949, status = 0.
Sim 9, deltat = 0.698649, status = 0.
Sim 10, deltat = 0.638856, status = 0.
Sim 11, deltat = 0.819666, status = 0.
Sim 12, deltat = 0.597752, status = 0.
Sim 13, deltat = 0.696896, status = 0.
Sim 14, deltat = 0.828593, status = 0.
Sim 15, deltat = 0.682732, status = 0.
Sim 16, deltat = 2.303930, status = 0.
Sim 17, deltat = 2.183618, status = 0.
Sim 18, deltat = 0.657156, status = 0.
Sim 19, deltat = 0.717738, status = 0.
Sim 20, deltat = 0.954314, status = 0.
Sim 21, deltat = 2.296092, status = 0.
Sim 22, deltat = 0.844096, status = 0.
Sim 23, deltat = 0.669614, status = 0.
Sim 24, deltat = 0.582182, status = 0.
Sim 25, deltat = 2.061309, status = 0.
Sim 26, deltat = 0.562528, status = 0.
Sim 27, deltat = 0.811953, status = 0.
Sim 28, deltat = 2.255070, status = 0.
Sim 29, deltat = 0.592737, status = 0.
Sim 30, deltat = 2.357752, status = 0.
Sim 31, deltat = 0.781508, status = 0.
Sim 32, deltat = 0.730622, status = 0.
Sim 33, deltat = 0.694582, status = 0.
Sim 34, deltat = 0.492547, status = 0.
Sim 35, deltat = 0.790247, status = 0.
Sim 36, deltat = 0.765023, status = 0.
Sim 37, deltat = 0.747747, status = 0.
Sim 38, deltat = 0.763335, status = 0.
Sim 39, deltat = 0.962244, status = 0.
Sim 40, deltat = 0.839101, status = 0.
Sim 41, deltat = 0.835895, status = 0.
Sim 42, deltat = 0.899426, status = 0.
Sim 43, deltat = 0.722112, status = 0.
Sim 44, deltat = 0.589110, status = 0.
Sim 45, deltat = 0.771043, status = 0.
Sim 46, deltat = 1.289268, status = 1.
Sim 47, deltat = 2.934741, status = 1.
Sim 48, deltat = 0.958369, status = 0.
Sim 49, deltat = 0.608530, status = 0.
Sim 50, deltat = 1.585624, status = 1.
Sim 51, deltat = 0.599339, status = 0.
Sim 52, deltat = 1.872314, status = 0.
Sim 53, deltat = 0.545981, status = 0.
Sim 54, deltat = 0.751288, status = 0.
Sim 55, deltat = 0.576134, status = 0.
Sim 56, deltat = 0.884367, status = 0.
Sim 57, deltat = 1.507392, status = 1.
Sim 58, deltat = 1.219636, status = 1.
Sim 59, deltat = 0.686167, status = 0.
Sim 60, deltat = 0.601930, status = 0.
Sim 61, deltat = 0.791080, status = 0.
Sim 62, deltat = 0.735386, status = 0.
Sim 63, deltat = 0.681464, status = 0.
Sim 64, deltat = 2.281717, status = 0.
Sim 65, deltat = 0.571838, status = 0.
Sim 66, deltat = 0.702686, status = 0.
Sim 67, deltat = 0.720558, status = 0.
Sim 68, deltat = 3.431203, status = 0.
Sim 69, deltat = 0.690720, status = 0.
Sim 70, deltat = 0.732718, status = 0.
Sim 71, deltat = 0.634417, status = 0.
Sim 72, deltat = 0.739135, status = 0.
Sim 73, deltat = 1.447249, status = 1.
Sim 74, deltat = 0.669385, status = 0.
Sim 75, deltat = 0.679369, status = 0.
Sim 76, deltat = 1.638215, status = 1.
Sim 77, deltat = 1.071003, status = 0.
Sim 78, deltat = 0.542174, status = 0.
Sim 79, deltat = 0.812236, status = 0.
Sim 80, deltat = 1.889925, status = 0.
Sim 81, deltat = 0.587526, status = 0.
Sim 82, deltat = 0.688267, status = 0.
Sim 83, deltat = 0.663122, status = 0.
Sim 84, deltat = 0.720866, status = 0.
Sim 85, deltat = 3.937759, status = 0.
Sim 86, deltat = 0.819705, status = 0.
Sim 87, deltat = 2.082769, status = 0.
Sim 88, deltat = 0.710496, status = 0.
Sim 89, deltat = 1.866198, status = 0.
Sim 90, deltat = 2.372884, status = 0.
Sim 91, deltat = 1.879131, status = 0.
Sim 92, deltat = 0.554712, status = 0.
Sim 93, deltat = 2.194625, status = 0.
Sim 94, deltat = 1.590453, status = 1.
Sim 95, deltat = 0.832028, status = 0.
Sim 96, deltat = 1.550096, status = 1.
Sim 97, deltat = 2.256548, status = 0.
Sim 98, deltat = 0.640922, status = 0.
Sim 99, deltat = 2.127145, status = 0.
Total time = 115.357706.
Average time = 1.153577.
10 blocks are successfully places in 100 simulations.
End of the simulation.
