Starting a PBFT simulation...
ntotal = 13, nbad = 8, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 0.657004, status = 0.
Sim 1, deltat = 0.782383, status = 0.
Sim 2, deltat = 0.874779, status = 0.
Sim 3, deltat = 0.899822, status = 0.
Sim 4, deltat = 0.569669, status = 0.
Sim 5, deltat = 0.601621, status = 0.
Sim 6, deltat = 0.729757, status = 0.
Sim 7, deltat = 0.755800, status = 0.
Sim 8, deltat = 0.599736, status = 0.
Sim 9, deltat = 0.762108, status = 0.
Sim 10, deltat = 0.769936, status = 0.
Sim 11, deltat = 0.786953, status = 0.
Sim 12, deltat = 0.614898, status = 0.
Sim 13, deltat = 0.863631, status = 0.
Sim 14, deltat = 0.760519, status = 0.
Sim 15, deltat = 0.605332, status = 0.
Sim 16, deltat = 0.857353, status = 0.
Sim 17, deltat = 0.656941, status = 0.
Sim 18, deltat = 0.633846, status = 0.
Sim 19, deltat = 0.832705, status = 0.
Sim 20, deltat = 0.708375, status = 0.
Sim 21, deltat = 0.920020, status = 0.
Sim 22, deltat = 0.712033, status = 0.
Sim 23, deltat = 2.210538, status = 0.
Sim 24, deltat = 0.801778, status = 0.
Sim 25, deltat = 0.701016, status = 0.
Sim 26, deltat = 0.839304, status = 0.
Sim 27, deltat = 0.818955, status = 0.
Sim 28, deltat = 1.935400, status = 0.
Sim 29, deltat = 0.628903, status = 0.
Sim 30, deltat = 2.185248, status = 0.
Sim 31, deltat = 2.356929, status = 0.
Sim 32, deltat = 0.830236, status = 0.
Sim 33, deltat = 0.808315, status = 0.
Sim 34, deltat = 0.773278, status = 0.
Sim 35, deltat = 2.487054, status = 0.
Sim 36, deltat = 0.804197, status = 0.
Sim 37, deltat = 0.623614, status = 0.
Sim 38, deltat = 0.769073, status = 0.
Sim 39, deltat = 0.743459, status = 0.
Sim 40, deltat = 0.538855, status = 0.
Sim 41, deltat = 0.717768, status = 0.
Sim 42, deltat = 0.793857, status = 0.
Sim 43, deltat = 0.664801, status = 0.
Sim 44, deltat = 0.784545, status = 0.
Sim 45, deltat = 0.594778, status = 0.
Sim 46, deltat = 0.644584, status = 0.
Sim 47, deltat = 0.762801, status = 0.
Sim 48, deltat = 0.552825, status = 0.
Sim 49, deltat = 0.781890, status = 0.
Sim 50, deltat = 0.602146, status = 0.
Sim 51, deltat = 0.693998, status = 0.
Sim 52, deltat = 0.763136, status = 0.
Sim 53, deltat = 0.760136, status = 0.
Sim 54, deltat = 2.018242, status = 0.
Sim 55, deltat = 0.782028, status = 0.
Sim 56, deltat = 0.814940, status = 0.
Sim 57, deltat = 0.774537, status = 0.
Sim 58, deltat = 0.797905, status = 0.
Sim 59, deltat = 0.566539, status = 0.
Sim 60, deltat = 0.756502, status = 0.
Sim 61, deltat = 0.589220, status = 0.
Sim 62, deltat = 0.578501, status = 0.
Sim 63, deltat = 0.611529, status = 0.
Sim 64, deltat = 0.719823, status = 0.
Sim 65, deltat = 0.786029, status = 0.
Sim 66, deltat = 0.611447, status = 0.
Sim 67, deltat = 0.827329, status = 0.
Sim 68, deltat = 0.788288, status = 0.
Sim 69, deltat = 0.762048, status = 0.
Sim 70, deltat = 0.578292, status = 0.
Sim 71, deltat = 1.825208, status = 0.
Sim 72, deltat = 0.658447, status = 0.
Sim 73, deltat = 0.686554, status = 0.
Sim 74, deltat = 0.571540, status = 0.
Sim 75, deltat = 0.805676, status = 0.
Sim 76, deltat = 0.581877, status = 0.
Sim 77, deltat = 0.770599, status = 0.
Sim 78, deltat = 0.596567, status = 0.
Sim 79, deltat = 0.639175, status = 0.
Sim 80, deltat = 0.720445, status = 0.
Sim 81, deltat = 0.803564, status = 0.
Sim 82, deltat = 0.619120, status = 0.
Sim 83, deltat = 0.660935, status = 0.
Sim 84, deltat = 0.896444, status = 0.
Sim 85, deltat = 0.709789, status = 0.
Sim 86, deltat = 0.587382, status = 0.
Sim 87, deltat = 0.616665, status = 0.
Sim 88, deltat = 0.758771, status = 0.
Sim 89, deltat = 0.725838, status = 0.
Sim 90, deltat = 0.700764, status = 0.
Sim 91, deltat = 0.674682, status = 0.
Sim 92, deltat = 1.985146, status = 0.
Sim 93, deltat = 0.669178, status = 0.
Sim 94, deltat = 0.923048, status = 0.
Sim 95, deltat = 0.486149, status = 0.
Sim 96, deltat = 2.032925, status = 0.
Sim 97, deltat = 0.585546, status = 0.
Sim 98, deltat = 0.793880, status = 0.
Sim 99, deltat = 0.633552, status = 0.
Total time = 84.011305.
Average time = 0.840113.
0 blocks are successfully places in 100 simulations.
End of the simulation.
