Starting a PBFT simulation...
ntotal = 13, nbad = 2, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 1.354022, status = 1.
Sim 1, deltat = 1.283121, status = 1.
Sim 2, deltat = 1.435914, status = 1.
Sim 3, deltat = 1.620303, status = 1.
Sim 4, deltat = 1.535672, status = 1.
Sim 5, deltat = 1.653046, status = 1.
Sim 6, deltat = 1.436539, status = 1.
Sim 7, deltat = 1.483503, status = 1.
Sim 8, deltat = 1.590647, status = 1.
Sim 9, deltat = 1.608865, status = 1.
Sim 10, deltat = 1.410593, status = 1.
Sim 11, deltat = 1.607424, status = 1.
Sim 12, deltat = 1.487219, status = 1.
Sim 13, deltat = 1.949981, status = 1.
Sim 14, deltat = 1.414725, status = 1.
Sim 15, deltat = 1.314579, status = 1.
Sim 16, deltat = 1.314473, status = 1.
Sim 17, deltat = 1.696570, status = 1.
Sim 18, deltat = 1.652800, status = 1.
Sim 19, deltat = 1.486394, status = 1.
Sim 20, deltat = 1.523039, status = 1.
Sim 21, deltat = 1.118931, status = 1.
Sim 22, deltat = 1.744058, status = 1.
Sim 23, deltat = 1.373614, status = 1.
Sim 24, deltat = 1.637304, status = 1.
Sim 25, deltat = 1.351378, status = 1.
Sim 26, deltat = 1.411624, status = 1.
Sim 27, deltat = 1.132617, status = 1.
Sim 28, deltat = 1.410320, status = 1.
Sim 29, deltat = 1.643664, status = 1.
Sim 30, deltat = 1.428424, status = 1.
Sim 31, deltat = 1.608363, status = 1.
Sim 32, deltat = 1.436175, status = 1.
Sim 33, deltat = 1.668951, status = 1.
Sim 34, deltat = 1.577219, status = 1.
Sim 35, deltat = 1.325154, status = 1.
Sim 36, deltat = 1.298831, status = 1.
Sim 37, deltat = 1.254981, status = 1.
Sim 38, deltat = 1.575175, status = 1.
Sim 39, deltat = 1.344951, status = 1.
Sim 40, deltat = 1.501247, status = 1.
Sim 41, deltat = 1.243581, status = 1.
Sim 42, deltat = 1.517996, status = 1.
Sim 43, deltat = 1.467470, status = 1.
Sim 44, deltat = 1.210204, status = 1.
Sim 45, deltat = 1.236982, status = 1.
Sim 46, deltat = 1.657402, status = 1.
Sim 47, deltat = 1.398448, status = 1.
Sim 48, deltat = 1.960396, status = 1.
Sim 49, deltat = 1.477931, status = 1.
Sim 50, deltat = 1.317051, status = 1.
Sim 51, deltat = 1.636400, status = 1.
Sim 52, deltat = 1.346558, status = 1.
Sim 53, deltat = 1.483656, status = 1.
Sim 54, deltat = 1.543885, status = 1.
Sim 55, deltat = 1.574248, status = 1.
Sim 56, deltat = 1.505861, status = 1.
Sim 57, deltat = 1.540331, status = 1.
Sim 58, deltat = 1.289139, status = 1.
Sim 59, deltat = 1.524630, status = 1.
Sim 60, deltat = 1.659771, status = 1.
Sim 61, deltat = 1.716599, status = 1.
Sim 62, deltat = 1.438939, status = 1.
Sim 63, deltat = 1.549666, status = 1.
Sim 64, deltat = 1.389962, status = 1.
Sim 65, deltat = 1.228107, status = 1.
Sim 66, deltat = 1.420513, status = 1.
Sim 67, deltat = 1.212013, status = 1.
Sim 68, deltat = 1.569628, status = 1.
Sim 69, deltat = 1.424220, status = 1.
Sim 70, deltat = 1.444316, status = 1.
Sim 71, deltat = 1.449793, status = 1.
Sim 72, deltat = 1.611546, status = 1.
Sim 73, deltat = 1.531788, status = 1.
Sim 74, deltat = 1.119285, status = 1.
Sim 75, deltat = 1.298894, status = 1.
Sim 76, deltat = 1.347898, status = 1.
Sim 77, deltat = 1.550637, status = 1.
Sim 78, deltat = 1.468633, status = 1.
Sim 79, deltat = 1.551271, status = 1.
Sim 80, deltat = 1.366610, status = 1.
Sim 81, deltat = 1.166067, status = 1.
Sim 82, deltat = 1.255175, status = 1.
Sim 83, deltat = 1.823298, status = 1.
Sim 84, deltat = 1.589720, status = 1.
Sim 85, deltat = 1.672404, status = 1.
Sim 86, deltat = 1.457731, status = 1.
Sim 87, deltat = 1.628820, status = 1.
Sim 88, deltat = 1.479879, status = 1.
Sim 89, deltat = 1.612128, status = 1.
Sim 90, deltat = 1.489421, status = 1.
Sim 91, deltat = 1.475044, status = 1.
Sim 92, deltat = 1.520945, status = 1.
Sim 93, deltat = 1.379145, status = 1.
Sim 94, deltat = 1.420567, status = 1.
Sim 95, deltat = 1.254298, status = 1.
Sim 96, deltat = 1.236318, status = 1.
Sim 97, deltat = 1.264601, status = 1.
Sim 98, deltat = 1.397350, status = 1.
Sim 99, deltat = 1.146450, status = 1.
Total time = 146.254026.
Average time = 1.462540.
100 blocks are successfully places in 100 simulations.
End of the simulation.
