Starting a PBFT simulation...
ntotal = 13, nbad = 1, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 1.349366, status = 1.
Sim 1, deltat = 1.411803, status = 1.
Sim 2, deltat = 1.315698, status = 1.
Sim 3, deltat = 1.599446, status = 1.
Sim 4, deltat = 1.844239, status = 1.
Sim 5, deltat = 1.407994, status = 1.
Sim 6, deltat = 1.628061, status = 1.
Sim 7, deltat = 1.156481, status = 1.
Sim 8, deltat = 1.344324, status = 1.
Sim 9, deltat = 1.500170, status = 1.
Sim 10, deltat = 1.476507, status = 1.
Sim 11, deltat = 1.272504, status = 1.
Sim 12, deltat = 1.342377, status = 1.
Sim 13, deltat = 1.372462, status = 1.
Sim 14, deltat = 1.561764, status = 1.
Sim 15, deltat = 1.763105, status = 1.
Sim 16, deltat = 1.478361, status = 1.
Sim 17, deltat = 1.247436, status = 1.
Sim 18, deltat = 1.396979, status = 1.
Sim 19, deltat = 1.483668, status = 1.
Sim 20, deltat = 1.514385, status = 1.
Sim 21, deltat = 1.485325, status = 1.
Sim 22, deltat = 1.503131, status = 1.
Sim 23, deltat = 1.678681, status = 1.
Sim 24, deltat = 1.562326, status = 1.
Sim 25, deltat = 1.623410, status = 1.
Sim 26, deltat = 1.392106, status = 1.
Sim 27, deltat = 1.076202, status = 1.
Sim 28, deltat = 1.205158, status = 1.
Sim 29, deltat = 1.503678, status = 1.
Sim 30, deltat = 1.453292, status = 1.
Sim 31, deltat = 1.594631, status = 1.
Sim 32, deltat = 1.135524, status = 1.
Sim 33, deltat = 1.447144, status = 1.
Sim 34, deltat = 1.680779, status = 1.
Sim 35, deltat = 1.344852, status = 1.
Sim 36, deltat = 1.651593, status = 1.
Sim 37, deltat = 1.465028, status = 1.
Sim 38, deltat = 1.599366, status = 1.
Sim 39, deltat = 1.622740, status = 1.
Sim 40, deltat = 1.520820, status = 1.
Sim 41, deltat = 1.462357, status = 1.
Sim 42, deltat = 1.352628, status = 1.
Sim 43, deltat = 1.364168, status = 1.
Sim 44, deltat = 1.592559, status = 1.
Sim 45, deltat = 1.460068, status = 1.
Sim 46, deltat = 1.311539, status = 1.
Sim 47, deltat = 1.451735, status = 1.
Sim 48, deltat = 1.209122, status = 1.
Sim 49, deltat = 1.614117, status = 1.
Sim 50, deltat = 1.502206, status = 1.
Sim 51, deltat = 1.585418, status = 1.
Sim 52, deltat = 1.942121, status = 1.
Sim 53, deltat = 1.832488, status = 1.
Sim 54, deltat = 1.573719, status = 1.
Sim 55, deltat = 1.381324, status = 1.
Sim 56, deltat = 1.647194, status = 1.
Sim 57, deltat = 1.400266, status = 1.
Sim 58, deltat = 1.494479, status = 1.
Sim 59, deltat = 1.422000, status = 1.
Sim 60, deltat = 1.721461, status = 1.
Sim 61, deltat = 1.430765, status = 1.
Sim 62, deltat = 1.813154, status = 1.
Sim 63, deltat = 1.452501, status = 1.
Sim 64, deltat = 1.425846, status = 1.
Sim 65, deltat = 1.265345, status = 1.
Sim 66, deltat = 1.732761, status = 1.
Sim 67, deltat = 1.611611, status = 1.
Sim 68, deltat = 1.849323, status = 1.
Sim 69, deltat = 1.334205, status = 1.
Sim 70, deltat = 1.304798, status = 1.
Sim 71, deltat = 1.585171, status = 1.
Sim 72, deltat = 1.420709, status = 1.
Sim 73, deltat = 1.452034, status = 1.
Sim 74, deltat = 1.497339, status = 1.
Sim 75, deltat = 1.400333, status = 1.
Sim 76, deltat = 1.336250, status = 1.
Sim 77, deltat = 1.374942, status = 1.
Sim 78, deltat = 1.309667, status = 1.
Sim 79, deltat = 1.321920, status = 1.
Sim 80, deltat = 1.245548, status = 1.
Sim 81, deltat = 1.460963, status = 1.
Sim 82, deltat = 1.671174, status = 1.
Sim 83, deltat = 1.396859, status = 1.
Sim 84, deltat = 1.411074, status = 1.
Sim 85, deltat = 1.382673, status = 1.
Sim 86, deltat = 1.194264, status = 1.
Sim 87, deltat = 1.228338, status = 1.
Sim 88, deltat = 1.272798, status = 1.
Sim 89, deltat = 1.335471, status = 1.
Sim 90, deltat = 1.199103, status = 1.
Sim 91, deltat = 1.204774, status = 1.
Sim 92, deltat = 1.292731, status = 1.
Sim 93, deltat = 1.526650, status = 1.
Sim 94, deltat = 1.261610, status = 1.
Sim 95, deltat = 1.265339, status = 1.
Sim 96, deltat = 1.409409, status = 1.
Sim 97, deltat = 1.420389, status = 1.
Sim 98, deltat = 1.217325, status = 1.
Sim 99, deltat = 1.482215, status = 1.
Total time = 145.131269.
Average time = 1.451313.
100 blocks are successfully places in 100 simulations.
End of the simulation.
